msoa,mode,time,area_m2,area_deg2
E02002231,CAR,15minutes,140360502.91260844,0.003567674999999974
E02002232,CAR,15minutes,153080852.30040482,0.0038909400000000298
E02002233,CAR,15minutes,170086006.96609184,0.004323675000000061
E02002234,CAR,15minutes,132064905.47256841,0.0033566400000000006
E02002235,CAR,15minutes,237316070.00871292,0.0060372400000000105
E02002236,CAR,15minutes,170138221.00487667,0.0043257299999999365
E02002237,CAR,15minutes,182721784.11724252,0.0046461849999999884
E02002238,CAR,15minutes,166404842.6137489,0.004232175000000032
E02002239,CAR,15minutes,152250670.54468617,0.003871369999999961
E02002240,CAR,15minutes,260200979.68158552,0.006618969999999873
E02002241,CAR,15minutes,147182260.3515323,0.0037438600000000524
E02002242,CAR,15minutes,157898950.8770554,0.004016920000000048
E02002243,CAR,15minutes,200716417.51932043,0.005110894999999995
E02002244,CAR,15minutes,173702099.6164972,0.004419649999999972
E02002245,CAR,15minutes,198831287.16876563,0.005062100000000083
E02002246,CAR,15minutes,218607022.83438972,0.005565105000000016
E02002247,CAR,15minutes,125322413.37751922,0.003192939999999984
E02002248,CAR,15minutes,196066519.8513676,0.004993059999999956
E02002249,CAR,15minutes,216061486.68378866,0.005502675000000004
E02002250,CAR,15minutes,134190846.36284576,0.003421159999999986
E02002251,CAR,15minutes,246848465.99693194,0.006286115000000044
E02002252,CAR,15minutes,156492262.54237878,0.003988734999999958
E02002253,CAR,15minutes,170639058.64337468,0.0043485850000000575
E02002254,CAR,15minutes,219626937.45486468,0.005596555000000071
E02002255,CAR,15minutes,159903055.77369937,0.004075444999999967
E02002256,CAR,15minutes,97918452.7248005,0.0024988449999999887
E02002257,CAR,15minutes,156335326.4615758,0.00398555000000005
E02002258,CAR,15minutes,187054448.67481387,0.004767460000000005
E02002259,CAR,15minutes,164384283.6652757,0.004191139999999973
E02002260,CAR,15minutes,168314432.16356635,0.004293689999999998
E02002261,CAR,15minutes,106717417.50341298,0.002722109999999977
E02002262,CAR,15minutes,202751024.7073672,0.005169515000000014
E02002263,CAR,15minutes,216008073.5741313,0.005513165000000009
E02002264,CAR,15minutes,117077998.24690542,0.002986850000000017
E02002265,CAR,15minutes,97478442.66529404,0.0024873499999998774
E02002266,CAR,15minutes,124333595.17065424,0.00317430499999999
E02002267,CAR,15minutes,142084853.11821982,0.0036297450000000327
E02002268,CAR,15minutes,151577498.99754658,0.003872159999999996
E02002269,CAR,15minutes,211511970.07354873,0.005405330000000064
E02002270,CAR,15minutes,284599747.77510923,0.007277819999999981
E02002271,CAR,15minutes,142017896.2340456,0.003613625000000028
E02002272,CAR,15minutes,182267940.57009175,0.004640569999999933
E02002273,CAR,15minutes,291453812.40200853,0.007421725000000012
E02002274,CAR,15minutes,184504659.8267946,0.0046992499999999535
E02002275,CAR,15minutes,186368755.2217442,0.004748995000000001
E02002276,CAR,15minutes,183043723.60216746,0.004662610000000004
E02002277,CAR,15minutes,132673898.98345996,0.0033815449999999667
E02002278,CAR,15minutes,168262244.95304283,0.004289759999999981
E02002279,CAR,15minutes,178939567.43392473,0.004560875000000066
E02002280,CAR,15minutes,157738427.4180518,0.0040205200000000265
E02002281,CAR,15minutes,136996754.62856638,0.0034922800000000403
E02002282,CAR,15minutes,157587193.43877155,0.004016995000000019
E02002283,CAR,15minutes,135844900.73874336,0.003463225000000038
E02002284,CAR,15minutes,175374426.50546345,0.004472454999999989
E02002285,CAR,15minutes,163609678.65221095,0.004174425000000014
E02002286,CAR,15minutes,135527581.03229043,0.0034564749999999797
E02002287,CAR,15minutes,137066894.2276312,0.003495939999999976
E02002288,CAR,15minutes,178398818.3859306,0.004550739999999999
E02002289,CAR,15minutes,118328468.63323568,0.003019684999999952
E02002290,CAR,15minutes,157869568.10192275,0.004030669999999932
E02002291,CAR,15minutes,166159208.90298444,0.004243725000000002
E02002292,CAR,15minutes,139435434.24849528,0.003562095000000048
E02002293,CAR,15minutes,115790964.34166245,0.0029564450000000076
E02002294,CAR,15minutes,130182922.38108708,0.0033255550000000156
E02002295,CAR,15minutes,104877521.32754111,0.002680019999999979
E02002296,CAR,15minutes,156598767.49408376,0.00400035500000001
E02002297,CAR,15minutes,241552610.6904537,0.006173874999999909
E02002298,CAR,15minutes,137757266.96565905,0.0035214049999999966
E02002299,CAR,15minutes,159443725.74253738,0.004075554999999982
E02002300,CAR,15minutes,197808198.78219047,0.005056774999999977
E02002301,CAR,15minutes,186764941.1080599,0.004774979999999984
E02002302,CAR,15minutes,212513160.88879356,0.005434100000000052
E02002303,CAR,15minutes,162994080.08267623,0.004168614999999982
E02002304,CAR,15minutes,198012341.53000414,0.005064920000000018
E02002305,CAR,15minutes,139164008.79437587,0.0035602899999999677
E02002306,CAR,15minutes,166160150.81992424,0.004254044999999938
E02002307,CAR,15minutes,172934954.29366675,0.00442437000000004
E02002308,CAR,15minutes,188625608.7961564,0.004827389999999894
E02002309,CAR,15minutes,122370555.06857713,0.0031316699999999367
E02002310,CAR,15minutes,153179027.3033925,0.003920109999999984
E02002311,CAR,15minutes,151356580.43409282,0.0038745599999999865
E02002312,CAR,15minutes,150256098.07607302,0.0038469449999999944
E02002313,CAR,15minutes,193254188.8862229,0.004949155000000016
E02002314,CAR,15minutes,209415972.99835736,0.00536290500000003
E02002315,CAR,15minutes,162060998.6355826,0.004150765000000015
E02002316,CAR,15minutes,274380325.38892144,0.007025615000000072
E02002317,CAR,15minutes,173973244.03729013,0.004457330000000001
E02002318,CAR,15minutes,167799765.7670134,0.004298449999999994
E02002319,CAR,15minutes,218376650.37305242,0.005596955000000055
E02002320,CAR,15minutes,229802968.77640304,0.005891629999999968
E02002321,CAR,15minutes,286973965.233763,0.0073545500000000005
E02002323,CAR,15minutes,238203995.7717347,0.006109870000000039
E02002324,CAR,15minutes,191205333.48285103,0.00490473499999997
E02002325,CAR,15minutes,248410871.99549797,0.006375274999999975
E02002326,CAR,15minutes,274745686.2293284,0.007047229999999961
E02002327,CAR,15minutes,221599875.50025654,0.0056892950000000265
E02002328,CAR,15minutes,236351265.07237038,0.006072759999999998
E02002329,CAR,15minutes,254564340.48160878,0.00654077000000005
E02002330,CAR,15minutes,149050938.7911838,0.003752875000000078
E02002331,CAR,15minutes,479099103.7406606,0.012057910000000109
E02002332,CAR,15minutes,285343880.60148185,0.007194014999999914
E02002333,CAR,15minutes,278015101.07490134,0.007018814999999979
E02002334,CAR,15minutes,269276227.0929412,0.006793809999999998
E02002335,CAR,15minutes,262681482.4929806,0.006633174999999997
E02002336,CAR,15minutes,330064302.0688873,0.008337034999999998
E02002337,CAR,15minutes,164790074.0743618,0.004165249999999987
E02002338,CAR,15minutes,175069320.07548165,0.004426249999999976
E02002339,CAR,15minutes,166213985.9974055,0.004202319999999944
E02002340,CAR,15minutes,227829649.84135145,0.005759455000000001
E02002341,CAR,15minutes,191397955.32086352,0.004838114999999954
E02002342,CAR,15minutes,219324711.2614389,0.005545905000000019
E02002343,CAR,15minutes,153312018.42111173,0.003878030000000066
E02002344,CAR,15minutes,231375402.78654712,0.005850650000000066
E02002345,CAR,15minutes,306602077.85814947,0.0077538100000000615
E02002346,CAR,15minutes,188922839.5651482,0.004779215000000007
E02002347,CAR,15minutes,238379649.43021145,0.006031014999999982
E02002348,CAR,15minutes,230899909.35682875,0.005842054999999968
E02002349,CAR,15minutes,180707099.38838327,0.004572530000000032
E02002350,CAR,15minutes,222099845.64040506,0.005619585000000081
E02002351,CAR,15minutes,198686178.7634293,0.005027140000000037
E02002352,CAR,15minutes,214661351.72923204,0.005433819999999994
E02002353,CAR,15minutes,192897585.76060152,0.004882430000000073
E02002354,CAR,15minutes,195245534.49029806,0.004942634999999985
E02002356,CAR,15minutes,244105279.64601374,0.006185069999999924
E02002357,CAR,15minutes,188715379.16576082,0.004778275000000083
E02002358,CAR,15minutes,162432220.7320914,0.004110255000000039
E02002359,CAR,15minutes,221299176.95759377,0.005601955000000108
E02002360,CAR,15minutes,180739260.29752353,0.004575984999999976
E02002361,CAR,15minutes,179490926.78855208,0.0045451600000000454
E02002362,CAR,15minutes,117855213.66811037,0.002984969999999985
E02002363,CAR,15minutes,851585.4269730711,2.1569999999989732e-05
E02002364,CAR,15minutes,171468413.99038064,0.004341810000000016
E02002366,CAR,15minutes,150509445.22292778,0.0038122499999999567
E02002367,CAR,15minutes,150978666.5760777,0.003823985000000012
E02002368,CAR,15minutes,245242256.49506685,0.0062179699999999945
E02002369,CAR,15minutes,125261872.20718874,0.003172870000000007
E02002370,CAR,15minutes,119548104.71326165,0.003028255000000011
E02002371,CAR,15minutes,150214908.6035534,0.0038059650000000305
E02002373,CAR,15minutes,120903269.93873416,0.0030634250000000627
E02002374,CAR,15minutes,123879774.92509311,0.003139459999999933
E02002375,CAR,15minutes,106894796.7241587,0.0027104850000000368
E02002376,CAR,15minutes,153388421.77760956,0.003886209999999973
E02002377,CAR,15minutes,149458457.08971283,0.003786740000000006
E02002379,CAR,15minutes,123538230.6202525,0.0031304149999999776
E02002380,CAR,15minutes,141243314.05605754,0.0035816550000000434
E02002381,CAR,15minutes,165148989.89148012,0.00418734999999998
E02002382,CAR,15minutes,130145638.36212409,0.0032983950000000537
E02002383,CAR,15minutes,91368571.18774435,0.0023163399999999797
E02002384,CAR,15minutes,115004461.56605269,0.002916150000000062
E02002385,CAR,15minutes,107722228.94298917,0.0027308399999999974
E02002386,CAR,15minutes,116490811.55696566,0.0029528750000000275
E02002387,CAR,15minutes,204457853.58062187,0.005186610000000013
E02002388,CAR,15minutes,124952169.70983842,0.0031691400000000013
E02002389,CAR,15minutes,132757306.3197877,0.0033654449999999062
E02002390,CAR,15minutes,120167043.78047508,0.003046080000000021
E02002391,CAR,15minutes,147383905.0885891,0.00373785999999997
E02002392,CAR,15minutes,111609372.69111294,0.002830524999999958
E02002393,CAR,15minutes,93935724.59345773,0.002381984999999998
E02002394,CAR,15minutes,115887105.88972126,0.0029383950000000506
E02002395,CAR,15minutes,245438818.9953573,0.006225370000000015
E02002396,CAR,15minutes,210965696.53027713,0.00535275000000003
E02002397,CAR,15minutes,189605838.668473,0.0048103300000000215
E02002398,CAR,15minutes,100909488.87503979,0.0025594799999999565
E02002399,CAR,15minutes,121521055.459716,0.003082920000000055
E02002400,CAR,15minutes,139447794.14500597,0.003538739999999937
E02002401,CAR,15minutes,74172382.38544747,0.0018818799999999608
E02002402,CAR,15minutes,175660275.7900432,0.004456295000000047
E02002403,CAR,15minutes,170336887.34862164,0.0043211400000001034
E02002404,CAR,15minutes,161756918.44201356,0.004106100000000004
E02002405,CAR,15minutes,142388969.72618836,0.0036128299999999385
E02002406,CAR,15minutes,198968681.6148714,0.0050489300000001
E02002407,CAR,15minutes,212617490.3869436,0.005396720000000064
E02002408,CAR,15minutes,168667868.5462565,0.004280524999999958
E02002409,CAR,15minutes,244943801.42403468,0.0062170300000001875
E02002410,CAR,15minutes,151293172.30596018,0.003840780000000006
E02002411,CAR,15minutes,263989224.68601385,0.006709384999999976
E02002412,CAR,15minutes,204261915.6167481,0.005187454999999958
E02002414,CAR,15minutes,108953666.53052472,0.0027673700000000042
E02002415,CAR,15minutes,160068618.6069432,0.004067189999999948
E02002416,CAR,15minutes,209267977.97710916,0.005312710000000003
E02002417,CAR,15minutes,236362534.1393394,0.006002099999999964
E02002418,CAR,15minutes,160161883.4980258,0.004067775000000081
E02002419,CAR,15minutes,123033266.90702511,0.0031268349999999698
E02002420,CAR,15minutes,168545021.8694867,0.0042840299999998945
E02002421,CAR,15minutes,192923150.41228905,0.004902144999999917
E02002422,CAR,15minutes,103135856.02023481,0.0026227699999999605
E02002423,CAR,15minutes,131434520.16223316,0.0033408450000000085
E02002424,CAR,15minutes,170855864.0000332,0.0043462750000000236
E02002425,CAR,15minutes,284451863.68323857,0.007236304999999976
E02002426,CAR,15minutes,168306261.87096134,0.0042801899999999815
E02002427,CAR,15minutes,129594691.96709982,0.0032955349999999597
E02002428,CAR,15minutes,99507508.06021023,0.002530485000000033
E02002429,CAR,15minutes,81165225.7285906,0.002063915000000012
E02002430,CAR,15minutes,107733844.01233496,0.0027407350000000098
E02002431,CAR,15minutes,115040960.44190273,0.002927024999999954
E02002432,CAR,15minutes,139265601.056323,0.003543609999999999
E02002433,CAR,15minutes,141257689.1304795,0.00359515999999997
E02002434,CAR,15minutes,162026234.16255915,0.00412489500000001
E02002435,CAR,15minutes,160671501.54170188,0.004090184999999923
E02002436,CAR,15minutes,221401428.69552577,0.0056389600000000565
E02002437,CAR,15minutes,272934309.59995973,0.006949520000000001
E02002438,CAR,15minutes,129465219.58549358,0.003295990000000073
