"timestamp", "logmsg", "LogglyNotifications.type", "logtypes", "syslog.appName", "syslog.facility", "syslog.host", "syslog.priority", "syslog.severity", "tags"
"2021-07-05 21:20:14.000 +01:00","b' ADSL_Status:[Mode=17A States=SHOWTIME UpSpeed=3694000 DownSpeed=30000000 SNR=19 Atten=13 ]'","","[b'syslog']","b'HBPC-Hebden-Data'","b'local use 5'","b'vigor.router'","b'174'","b'Informational'","[b'hbph', b'clients', b'dringtech']"
"2021-07-05 21:19:45.000 +01:00","b' ADSL_Status:[Mode=17A States=SHOWTIME UpSpeed=3694000 DownSpeed=30000000 SNR=19 Atten=13 ]'","","[b'syslog']","b'HBPC-Hebden-Data'","b'local use 5'","b'vigor.router'","b'174'","b'Informational'","[b'hbph', b'clients', b'dringtech']"
"2021-07-05 21:19:17.000 +01:00","b' ADSL_Status:[Mode=17A States=SHOWTIME UpSpeed=3694000 DownSpeed=30000000 SNR=19 Atten=13 ]'","","[b'syslog']","b'HBPC-Hebden-Data'","b'local use 5'","b'vigor.router'","b'174'","b'Informational'","[b'hbph', b'clients', b'dringtech']"
"2021-07-05 21:18:49.000 +01:00","b' ADSL_Status:[Mode=17A States=SHOWTIME UpSpeed=3694000 DownSpeed=30000000 SNR=19 Atten=13 ]'","","[b'syslog']","b'HBPC-Hebden-Data'","b'local use 5'","b'vigor.router'","b'174'","b'Informational'","[b'hbph', b'clients', b'dringtech']"
"2021-07-05 21:18:20.000 +01:00","b' ADSL_Status:[Mode=17A States=SHOWTIME UpSpeed=3694000 DownSpeed=30000000 SNR=19 Atten=13 ]'","","[b'syslog']","b'HBPC-Hebden-Data'","b'local use 5'","b'vigor.router'","b'174'","b'Informational'","[b'hbph', b'clients', b'dringtech']"
"2021-07-05 21:17:52.000 +01:00","b' ADSL_Status:[Mode=17A States=SHOWTIME UpSpeed=3694000 DownSpeed=30000000 SNR=19 Atten=13 ]'","","[b'syslog']","b'HBPC-Hebden-Data'","b'local use 5'","b'vigor.router'","b'174'","b'Informational'","[b'hbph', b'clients', b'dringtech']"
"2021-07-05 21:17:24.000 +01:00","b' ADSL_Status:[Mode=17A States=SHOWTIME UpSpeed=3694000 DownSpeed=30000000 SNR=19 Atten=13 ]'","","[b'syslog']","b'HBPC-Hebden-Data'","b'local use 5'","b'vigor.router'","b'174'","b'Informational'","[b'hbph', b'clients', b'dringtech']"
"2021-07-05 21:16:55.000 +01:00","b' ADSL_Status:[Mode=17A States=SHOWTIME UpSpeed=3694000 DownSpeed=30000000 SNR=19 Atten=13 ]'","","[b'syslog']","b'HBPC-Hebden-Data'","b'local use 5'","b'vigor.router'","b'174'","b'Informational'","[b'hbph', b'clients', b'dringtech']"
"2021-07-05 21:16:27.000 +01:00","b' ADSL_Status:[Mode=17A States=SHOWTIME UpSpeed=3694000 DownSpeed=30000000 SNR=19 Atten=13 ]'","","[b'syslog']","b'HBPC-Hebden-Data'","b'local use 5'","b'vigor.router'","b'174'","b'Informational'","[b'hbph', b'clients', b'dringtech']"
"2021-07-05 21:15:58.000 +01:00","b' ADSL_Status:[Mode=17A States=SHOWTIME UpSpeed=3694000 DownSpeed=30000000 SNR=19 Atten=13 ]'","","[b'syslog']","b'HBPC-Hebden-Data'","b'local use 5'","b'vigor.router'","b'174'","b'Informational'","[b'hbph', b'clients', b'dringtech']"
"2021-07-05 21:15:30.000 +01:00","b' ADSL_Status:[Mode=17A States=SHOWTIME UpSpeed=3694000 DownSpeed=30000000 SNR=19 Atten=13 ]'","","[b'syslog']","b'HBPC-Hebden-Data'","b'local use 5'","b'vigor.router'","b'174'","b'Informational'","[b'hbph', b'clients', b'dringtech']"
"2021-07-05 21:15:02.000 +01:00","b' ADSL_Status:[Mode=17A States=SHOWTIME UpSpeed=3694000 DownSpeed=30000000 SNR=19 Atten=13 ]'","","[b'syslog']","b'HBPC-Hebden-Data'","b'local use 5'","b'vigor.router'","b'174'","b'Informational'","[b'hbph', b'clients', b'dringtech']"
"2021-07-05 21:14:33.000 +01:00","b' ADSL_Status:[Mode=17A States=SHOWTIME UpSpeed=3694000 DownSpeed=30000000 SNR=19 Atten=13 ]'","","[b'syslog']","b'HBPC-Hebden-Data'","b'local use 5'","b'vigor.router'","b'174'","b'Informational'","[b'hbph', b'clients', b'dringtech']"
"2021-07-05 21:14:05.000 +01:00","b' ADSL_Status:[Mode=17A States=SHOWTIME UpSpeed=3694000 DownSpeed=30000000 SNR=19 Atten=13 ]'","","[b'syslog']","b'HBPC-Hebden-Data'","b'local use 5'","b'vigor.router'","b'174'","b'Informational'","[b'hbph', b'clients', b'dringtech']"
"2021-07-05 21:13:36.000 +01:00","b' ADSL_Status:[Mode=17A States=SHOWTIME UpSpeed=3694000 DownSpeed=30000000 SNR=19 Atten=13 ]'","","[b'syslog']","b'HBPC-Hebden-Data'","b'local use 5'","b'vigor.router'","b'174'","b'Informational'","[b'hbph', b'clients', b'dringtech']"
"2021-07-05 21:13:08.000 +01:00","b' ADSL_Status:[Mode=17A States=SHOWTIME UpSpeed=3694000 DownSpeed=30000000 SNR=19 Atten=13 ]'","","[b'syslog']","b'HBPC-Hebden-Data'","b'local use 5'","b'vigor.router'","b'174'","b'Informational'","[b'hbph', b'clients', b'dringtech']"
"2021-07-05 21:12:40.000 +01:00","b' ADSL_Status:[Mode=17A States=SHOWTIME UpSpeed=3694000 DownSpeed=30000000 SNR=19 Atten=13 ]'","","[b'syslog']","b'HBPC-Hebden-Data'","b'local use 5'","b'vigor.router'","b'174'","b'Informational'","[b'hbph', b'clients', b'dringtech']"
"2021-07-05 21:12:11.000 +01:00","b' ADSL_Status:[Mode=17A States=SHOWTIME UpSpeed=3694000 DownSpeed=30000000 SNR=19 Atten=13 ]'","","[b'syslog']","b'HBPC-Hebden-Data'","b'local use 5'","b'vigor.router'","b'174'","b'Informational'","[b'hbph', b'clients', b'dringtech']"
"2021-07-05 21:11:43.000 +01:00","b' ADSL_Status:[Mode=17A States=SHOWTIME UpSpeed=3694000 DownSpeed=30000000 SNR=19 Atten=13 ]'","","[b'syslog']","b'HBPC-Hebden-Data'","b'local use 5'","b'vigor.router'","b'174'","b'Informational'","[b'hbph', b'clients', b'dringtech']"
"2021-07-05 21:11:15.000 +01:00","b' ADSL_Status:[Mode=17A States=SHOWTIME UpSpeed=3694000 DownSpeed=30000000 SNR=19 Atten=13 ]'","","[b'syslog']","b'HBPC-Hebden-Data'","b'local use 5'","b'vigor.router'","b'174'","b'Informational'","[b'hbph', b'clients', b'dringtech']"
"2021-07-05 21:10:46.000 +01:00","b' ADSL_Status:[Mode=17A States=SHOWTIME UpSpeed=3694000 DownSpeed=30000000 SNR=19 Atten=13 ]'","","[b'syslog']","b'HBPC-Hebden-Data'","b'local use 5'","b'vigor.router'","b'174'","b'Informational'","[b'hbph', b'clients', b'dringtech']"
"2021-07-05 21:10:18.000 +01:00","b' ADSL_Status:[Mode=17A States=SHOWTIME UpSpeed=3694000 DownSpeed=30000000 SNR=19 Atten=13 ]'","","[b'syslog']","b'HBPC-Hebden-Data'","b'local use 5'","b'vigor.router'","b'174'","b'Informational'","[b'hbph', b'clients', b'dringtech']"
"2021-07-05 21:09:49.000 +01:00","b' ADSL_Status:[Mode=17A States=SHOWTIME UpSpeed=3694000 DownSpeed=30000000 SNR=19 Atten=13 ]'","","[b'syslog']","b'HBPC-Hebden-Data'","b'local use 5'","b'vigor.router'","b'174'","b'Informational'","[b'hbph', b'clients', b'dringtech']"
"2021-07-05 21:09:21.000 +01:00","b' ADSL_Status:[Mode=17A States=SHOWTIME UpSpeed=3694000 DownSpeed=30000000 SNR=19 Atten=13 ]'","","[b'syslog']","b'HBPC-Hebden-Data'","b'local use 5'","b'vigor.router'","b'174'","b'Informational'","[b'hbph', b'clients', b'dringtech']"
"2021-07-05 21:08:53.000 +01:00","b' ADSL_Status:[Mode=17A States=SHOWTIME UpSpeed=3694000 DownSpeed=30000000 SNR=19 Atten=13 ]'","","[b'syslog']","b'HBPC-Hebden-Data'","b'local use 5'","b'vigor.router'","b'174'","b'Informational'","[b'hbph', b'clients', b'dringtech']"
"2021-07-05 21:08:24.000 +01:00","b' ADSL_Status:[Mode=17A States=SHOWTIME UpSpeed=3694000 DownSpeed=30000000 SNR=19 Atten=13 ]'","","[b'syslog']","b'HBPC-Hebden-Data'","b'local use 5'","b'vigor.router'","b'174'","b'Informational'","[b'hbph', b'clients', b'dringtech']"
"2021-07-05 21:07:56.000 +01:00","b' ADSL_Status:[Mode=17A States=SHOWTIME UpSpeed=3694000 DownSpeed=30000000 SNR=19 Atten=13 ]'","","[b'syslog']","b'HBPC-Hebden-Data'","b'local use 5'","b'vigor.router'","b'174'","b'Informational'","[b'hbph', b'clients', b'dringtech']"
